rev,n,total,mean,sd
25d806e95,1129,3653.75,3.24,1.88
c27df94e1,1129,3653.75,3.24,1.88
519e8e418,1170,3778.75,3.23,1.88
9a99273b4,1173,3787.75,3.23,1.87
d9b4b3f06,1177,3790.75,3.22,1.86
0590ec3fd,1185,3825.75,3.23,1.87
9323a3153,1186,3828.75,3.23,1.87
aa39a8e17,1186,3828.75,3.23,1.87
69d357ba1,1187,3835.75,3.23,1.87
fd57d2b53,1184,3826.75,3.23,1.88
a11f32652,1183,3823.75,3.23,1.88
134810b3d,1186,3814.25,3.22,1.87
8f10d5e39,1187,3817.75,3.22,1.87
cad5c0a6e,1187,3817.75,3.22,1.87
4e1168336,1195,3838.75,3.21,1.86
00c1bde5d,1196,3844.75,3.21,1.86
9c3dadd1c,1205,3869.75,3.21,1.86
69ba344de,1205,3869.75,3.21,1.86
551603fef,1206,3872.75,3.21,1.86
e88db68cf,1202,3864.75,3.22,1.86
bf8717eba,1202,3867.25,3.22,1.86
866fa4550,1204,3881.25,3.22,1.87
fdea8ec16,1203,3878.25,3.22,1.87
5aef49806,1214,3908.25,3.22,1.86
995f56236,1216,3914.25,3.22,1.86
94d545a1a,1216,3914.25,3.22,1.86
32aa2059a,1216,3914.25,3.22,1.86
b12e87f94,1216,3918.25,3.22,1.86
ee77fdb5d,1216,3918.25,3.22,1.86
a4e2b2685,1222,3947.75,3.23,1.86
87054a57a,1222,3947.75,3.23,1.86
57e729e87,1222,3947.75,3.23,1.86
bf53e0c70,1222,3947.75,3.23,1.86
68ad4e3a8,1230,3983.75,3.24,1.87
96f6a7596,1230,3983.75,3.24,1.87
e97f802b2,1227,3974.75,3.24,1.87
0e74d797c,1237,4006.75,3.24,1.87
df5dafaa5,1231,3991.75,3.24,1.87
9ddc35220,1233,3997.75,3.24,1.87
ff7424f49,1245,4030.75,3.24,1.86
cabaf4eff,1245,4030.75,3.24,1.86
e489ad7a2,1246,4030.75,3.23,1.86
a1a2aaadb,1260,4069.75,3.23,1.85
2e3b969ec,1279,4112.75,3.22,1.84
3ee696a63,1281,4118.75,3.22,1.84
3bcb8c75d,1313,4202.75,3.2,1.83
423330263,1321,4223.75,3.2,1.82
