module,revisions,code
vllm/engine/arg_utils.py,618,1764
vllm/v1/worker/gpu_model_runner.py,564,4332
.buildkite/test-pipeline.yaml,515,1289
vllm/envs.py,379,1109
vllm/engine/llm_engine.py,334,2
vllm/entrypoints/openai/api_server.py,318,728
tests/models/registry.py,310,1018
vllm/model_executor/models/registry.py,277,1026
vllm/entrypoints/llm.py,265,1082
vllm/_custom_ops.py,232,2417
setup.py,221,745
docs/models/supported_models.md,217,643
vllm/model_executor/layers/fused_moe/layer.py,216,1524
CMakeLists.txt,200,811
tests/conftest.py,199,1141
vllm/transformers_utils/config.py,190,803
vllm/model_executor/layers/quantization/fp8.py,190,931
README.md,187,72
vllm/v1/core/sched/scheduler.py,180,1420
vllm/engine/async_llm_engine.py,180,2
vllm/v1/engine/core.py,174,1123
vllm/platforms/cuda.py,172,493
vllm/model_executor/models/qwen2_vl.py,171,1151
vllm/sequence.py,167,37
vllm/model_executor/layers/fused_moe/fused_moe.py,167,1853
vllm/model_executor/models/llama.py,163,482
vllm/v1/worker/gpu_worker.py,161,730
vllm/model_executor/models/llava.py,152,619
vllm/platforms/rocm.py,151,500
vllm/v1/engine/async_llm.py,148,720
vllm/entrypoints/chat_utils.py,146,991
vllm/platforms/interface.py,139,383
vllm/attention/layer.py,138,732
csrc/torch_bindings.cpp,137,584
pyproject.toml,135,249
csrc/ops.h,133,322
vllm/model_executor/models/phi3v.py,123,528
vllm/model_executor/models/qwen2_5_vl.py,122,1148
vllm/model_executor/layers/quantization/compressed_tensors/compressed_tensors_moe.py,120,2118
vllm/v1/attention/backends/flash_attn.py,120,852
vllm/distributed/parallel_state.py,118,1213
vllm/model_executor/models/deepseek_v2.py,117,1215
vllm/config/model.py,114,1431
vllm/model_executor/models/pixtral.py,114,1092
vllm/model_executor/models/minicpmv.py,114,1378
vllm/v1/spec_decode/eagle.py,113,1056
vllm/model_executor/models/__init__.py,112,40
vllm/v1/engine/llm_engine.py,112,311
vllm/v1/attention/backends/flashinfer.py,112,1356
vllm/model_executor/layers/linear.py,112,1024
vllm/distributed/kv_transfer/kv_connector/v1/nixl_connector.py,110,1935
tests/utils.py,106,1044
vllm/model_executor/models/interfaces.py,105,678
examples/offline_inference/vision_language.py,103,1803
vllm/sampling_params.py,103,435
vllm/model_executor/models/internvl.py,102,1120
vllm/model_executor/layers/quantization/modelopt.py,102,1336
docker/Dockerfile,101,499
vllm/utils/__init__.py,100,23
benchmarks/benchmark_serving.py,100,4
tests/models/multimodal/processing/test_common.py,100,347
vllm/platforms/cpu.py,100,293
requirements/common.txt,99,55
vllm/v1/engine/core_client.py,99,1021
vllm/model_executor/models/llava_next.py,99,414
vllm/config/__init__.py,98,85
vllm/compilation/backends.py,97,653
vllm/model_executor/models/mixtral.py,96,480
vllm/model_executor/models/qwen2.py,96,478
vllm/v1/worker/gpu_input_batch.py,95,744
vllm/model_executor/layers/quantization/compressed_tensors/compressed_tensors.py,93,834
vllm/model_executor/models/ultravox.py,93,538
vllm/model_executor/model_loader/weight_utils.py,90,822
