entity,coupled,degree,average-revs
vllm/lora/layers/logits_processor.py,vllm/lora/layers/vocal_parallel_embedding.py,100,7
csrc/attention/paged_attention_v1.cu,csrc/attention/paged_attention_v2.cu,100,7
vllm/lora/ops/sgmv_expand.py,vllm/lora/ops/sgmv_expand_slice.py,100,7
cacheflow/model_executor/models/gpt2.py,cacheflow/model_executor/models/opt.py,100,6
cacheflow/model_executor/models/gpt2.py,cacheflow/model_executor/models/gpt_neox.py,100,6
cacheflow/model_executor/models/gpt_neox.py,cacheflow/model_executor/models/opt.py,100,6
"vllm/model_executor/layers/fused_moe/configs/E=8,N=14336,device_name=AMD_Instinct_MI300X.json","vllm/model_executor/layers/fused_moe/configs/E=8,N=3584,device_name=AMD_Instinct_MI300X.json",100,5
benchmarks/disagg_benchmarks/disagg_overhead_benchmark.sh,benchmarks/disagg_benchmarks/disagg_performance_benchmark.sh,100,5
docs/features/quantization/fp8.md,docs/features/quantization/int4.md,100,5
"vllm/model_executor/layers/fused_moe/configs/E=8,N=3584,device_name=AMD_Instinct_MI300X.json","vllm/model_executor/layers/fused_moe/configs/E=8,N=7168,device_name=AMD_Instinct_MI300X.json",100,5
vllm/lora/ops/bgmv_expand.py,vllm/lora/ops/bgmv_expand_slice.py,100,5
"vllm/model_executor/layers/fused_moe/configs/E=8,N=14336,device_name=AMD_Instinct_MI300X.json","vllm/model_executor/layers/fused_moe/configs/E=8,N=7168,device_name=AMD_Instinct_MI300X.json",100,5
examples/online_serving/prithvi_geospatial_mae.py,tests/plugins_tests/test_io_processor_plugins.py,92,7
vllm/lora/ops/sgmv_expand_slice.py,vllm/lora/ops/sgmv_shrink.py,92,7
vllm/lora/layers/base.py,vllm/lora/layers/logits_processor.py,92,7
vllm/lora/ops/sgmv_expand.py,vllm/lora/ops/sgmv_shrink.py,92,7
vllm/lora/layers/base.py,vllm/lora/layers/vocal_parallel_embedding.py,92,7
examples/offline_inference/prithvi_geospatial_mae_io_processor.py,examples/online_serving/prithvi_geospatial_mae.py,90,6
docs/features/quantization/int4.md,docs/features/quantization/int8.md,90,6
docs/features/quantization/fp8.md,docs/features/quantization/int8.md,90,6
cacheflow/model_executor/models/gpt2.py,cacheflow/model_executor/models/llama.py,90,6
cacheflow/model_executor/models/gpt_neox.py,cacheflow/model_executor/models/llama.py,90,6
cacheflow/model_executor/models/llama.py,cacheflow/model_executor/models/opt.py,90,6
requirements/test.in,requirements/test.txt,88,82
vllm/core/block/cpu_gpu_block_allocator.py,vllm/core/block/interfaces.py,88,17
vllm/lora/layers/column_parallel_linear.py,vllm/lora/layers/vocal_parallel_embedding.py,87,8
vllm/lora/layers/column_parallel_linear.py,vllm/lora/layers/logits_processor.py,87,8
vllm/lora/ops/triton_ops/lora_expand_op.py,vllm/lora/ops/triton_ops/lora_shrink_op.py,85,11
csrc/rocm/ops.h,csrc/rocm/torch_bindings.cpp,85,11
csrc/punica/bgmv/bgmv_config.h,tests/lora/test_punica.py,83,16
vllm/lora/ops/bgmv_expand_slice.py,vllm/lora/ops/sgmv_expand.py,83,6
examples/offline_inference/prithvi_geospatial_mae_io_processor.py,tests/plugins_tests/test_io_processor_plugins.py,83,6
vllm/lora/ops/bgmv_expand_slice.py,vllm/lora/ops/sgmv_expand_slice.py,83,6
cacheflow/config.py,cacheflow/server/arg_utils.py,83,6
vllm/distributed/kv_transfer/kv_connector/v1/lmcache_integration/multi_process_adapter.py,vllm/distributed/kv_transfer/kv_connector/v1/lmcache_mp_connector.py,83,6
csrc/quantization/gptq_marlin/awq_marlin_repack.cu,csrc/quantization/gptq_marlin/gptq_marlin_repack.cu,83,6
tests/lora/test_punica_sizes.py,tests/lora/test_punica_variation.py,83,6
