entity,n-revs
vllm/config.py,711
vllm/engine/arg_utils.py,618
vllm/v1/worker/gpu_model_runner.py,564
.buildkite/test-pipeline.yaml,515
vllm/envs.py,379
vllm/engine/llm_engine.py,334
vllm/entrypoints/openai/api_server.py,318
tests/models/registry.py,310
vllm/utils.py,280
vllm/model_executor/models/registry.py,277
vllm/entrypoints/llm.py,265
vllm/worker/model_runner.py,235
vllm/_custom_ops.py,232
vllm/entrypoints/openai/protocol.py,230
setup.py,221
docs/models/supported_models.md,217
vllm/model_executor/layers/fused_moe/layer.py,216
vllm/entrypoints/openai/serving_chat.py,212
CMakeLists.txt,200
tests/conftest.py,199
vllm/transformers_utils/config.py,190
vllm/model_executor/layers/quantization/fp8.py,190
README.md,187
vllm/v1/core/sched/scheduler.py,180
vllm/engine/async_llm_engine.py,180
vllm/v1/engine/core.py,174
vllm/platforms/cuda.py,172
vllm/model_executor/models/qwen2_vl.py,171
vllm/sequence.py,167
vllm/model_executor/layers/fused_moe/fused_moe.py,167
vllm/model_executor/models/llama.py,163
vllm/entrypoints/openai/serving_engine.py,161
vllm/v1/worker/gpu_worker.py,161
vllm/v1/worker/tpu_model_runner.py,156
docs/source/models/supported_models.rst,153
vllm/model_executor/models/llava.py,152
vllm/platforms/rocm.py,151
vllm/v1/engine/async_llm.py,148
vllm/entrypoints/chat_utils.py,146
vllm/worker/worker.py,143
vllm/platforms/interface.py,139
vllm/attention/layer.py,138
csrc/torch_bindings.cpp,137
pyproject.toml,135
csrc/ops.h,133
vllm/entrypoints/openai/serving_completion.py,131
vllm/core/scheduler.py,131
docs/source/models/supported_models.md,129
vllm/model_executor/models/phi3v.py,123
vllm/model_executor/models/qwen2_5_vl.py,122
vllm/model_executor/layers/quantization/compressed_tensors/compressed_tensors_moe.py,120
vllm/v1/attention/backends/flash_attn.py,120
vllm/distributed/parallel_state.py,118
vllm/v1/engine/processor.py,118
vllm/model_executor/models/deepseek_v2.py,117
vllm/config/model.py,114
vllm/model_executor/models/pixtral.py,114
vllm/model_executor/models/minicpmv.py,114
vllm/v1/spec_decode/eagle.py,113
vllm/model_executor/models/__init__.py,112
