entity,soc
vllm/engine/arg_utils.py,12008
vllm/v1/worker/gpu_model_runner.py,11370
vllm/config.py,10289
vllm/entrypoints/llm.py,9706
vllm/model_executor/models/llama.py,9208
vllm/model_executor/models/llava.py,9123
vllm/model_executor/models/qwen2_vl.py,8792
vllm/model_executor/models/phi3v.py,8710
vllm/entrypoints/openai/api_server.py,8590
vllm/envs.py,8506
tests/conftest.py,8467
vllm/model_executor/models/minicpmv.py,8402
vllm/model_executor/models/qwen.py,8342
vllm/model_executor/models/chameleon.py,8279
vllm/model_executor/models/baichuan.py,8277
vllm/model_executor/models/qwen2.py,8239
vllm/model_executor/models/pixtral.py,8215
vllm/model_executor/models/mixtral.py,8145
vllm/model_executor/models/molmo.py,8132
vllm/model_executor/models/chatglm.py,8131
tests/models/registry.py,8103
vllm/model_executor/models/internvl.py,8072
vllm/model_executor/models/gpt_j.py,8048
vllm/model_executor/models/deepseek_v2.py,8043
vllm/sequence.py,8032
vllm/model_executor/models/gpt_neox.py,7993
vllm/_custom_ops.py,7988
vllm/model_executor/models/falcon.py,7980
vllm/model_executor/models/llava_next.py,7968
vllm/model_executor/models/internlm2.py,7955
vllm/model_executor/models/gemma.py,7897
vllm/model_executor/models/blip2.py,7866
vllm/model_executor/models/fuyu.py,7856
vllm/model_executor/models/ultravox.py,7793
vllm/model_executor/models/phi.py,7793
vllm/model_executor/models/registry.py,7761
vllm/model_executor/models/gpt2.py,7750
vllm/model_executor/models/gpt_bigcode.py,7740
vllm/model_executor/models/bloom.py,7694
vllm/model_executor/models/olmo.py,7684
vllm/model_executor/models/starcoder2.py,7671
vllm/model_executor/models/minicpm.py,7638
vllm/model_executor/models/opt.py,7615
vllm/model_executor/models/stablelm.py,7602
vllm/model_executor/models/orion.py,7588
vllm/model_executor/models/mpt.py,7554
vllm/model_executor/models/paligemma.py,7545
vllm/engine/llm_engine.py,7533
vllm/model_executor/models/qwen2_moe.py,7517
vllm/entrypoints/openai/serving_chat.py,7506
vllm/model_executor/models/dbrx.py,7498
vllm/model_executor/models/commandr.py,7496
vllm/entrypoints/openai/serving_engine.py,7493
vllm/entrypoints/openai/protocol.py,7476
vllm/model_executor/models/qwen2_audio.py,7419
vllm/model_executor/models/jamba.py,7362
